"SpeciesName","TraitName","value"
"Polygonum amphibium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",16.1681818181818
"Polygonum amphibium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",18.38119726
"Polygonum amphibium","Plant growth form",NA
"Polygonum amphibium","Plant height generative",0.525
"Polygonum amphibium","Plant height vegetative",0.775
"Polygonum amphibium","Seed number per inflorescence (total, fertile, infertile)",40.5
"Polygonum amphibium L.","Plant growth form",NA
"Polygonum amphibium L.","Plant height vegetative",0.41524
"Polygonum amphibium L.","Plant reproductive phenology timing",NA
"Polygonum amphibium var. emersum","Plant growth form",NA
"Polygonum amphibium var. stipulaceum","Plant growth form",NA
"Polygonum arenastrum","Dispersal syndrome",NA
"Polygonum arenastrum","Leaf petiole length",0
"Polygonum arenastrum","Plant growth form",NA
"Polygonum arenastrum","Plant height vegetative",0.177083333333333
"Polygonum arenastrum","Plant reproductive phenology timing",NA
"Polygonum arenastrum Jord. ex Boreau","Dispersal syndrome",NA
"Polygonum atlanticum","Plant growth form",NA
"Polygonum aviculare","Dispersal syndrome",NA
"Polygonum aviculare","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",24.1077128768291
"Polygonum aviculare","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",16.53
"Polygonum aviculare","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",21.4386234263125
"Polygonum aviculare","Leaf petiole length",0.4
"Polygonum aviculare","Leaf thickness",0.18225
"Polygonum aviculare","Plant biomass and allometry: Seed number per plant",2104.16666666667
"Polygonum aviculare","Plant growth form",NA
"Polygonum aviculare","Plant height generative",0.275
"Polygonum aviculare","Plant height vegetative",0.469807692307692
"Polygonum aviculare","Plant reproductive phenology timing",NA
"Polygonum aviculare agg.","Plant height vegetative",0.3
"POLYGONUM AVICULARE L.","Dispersal syndrome",NA
"POLYGONUM AVICULARE L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.0979746917783
"POLYGONUM AVICULARE L.","Plant growth form",NA
"POLYGONUM AVICULARE L.","Plant height generative",0.536777777777778
"POLYGONUM AVICULARE L.","Plant height vegetative",0.05
"Polygonum cespitosum var. longisetum","Plant growth form",NA
"Polygonum cilinode","Plant growth form",NA
"Polygonum coccineum","Plant growth form",NA
"Polygonum compactum","Dispersal syndrome",NA
"Polygonum compactum","Plant growth form",NA
"Polygonum compactum Hook.f.","Dispersal syndrome",NA
"Polygonum convolvulus","Dispersal syndrome",NA
"Polygonum convolvulus","Plant growth form",NA
"Polygonum convolvulus L.","Dispersal syndrome",NA
"Polygonum cristatum","Plant growth form",NA
"Polygonum cuspidatum","Dispersal syndrome",NA
"Polygonum cuspidatum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.543102052273
"Polygonum cuspidatum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.5443673506667
"Polygonum cuspidatum","Plant growth form",NA
"Polygonum cuspidatum Sieber & Zucc.","Dispersal syndrome",NA
"Polygonum douglasii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",11.9580946180596
"Polygonum douglasii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.9580946180269
"Polygonum douglasii","Plant growth form",NA
"Polygonum douglasii","Plant height vegetative",0.12344
"Polygonum douglasii","Plant reproductive phenology timing",NA
"Polygonum douglasii ssp. douglasii","Plant growth form",NA
"Polygonum douglasii ssp. nuttallii","Plant growth form",NA
"Polygonum erectum","Plant growth form",NA
"Polygonum exsertum","Plant growth form",NA
"Polygonum fagopyrum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",37.8454006203028
"Polygonum fagopyrum","Plant growth form",NA
"Polygonum fowleri","Plant growth form",NA
"Polygonum fowleri ssp. fowleri","Plant growth form",NA
"Polygonum fusiforme","Plant growth form",NA
"Polygonum hartwrightii","Plant growth form",NA
"Polygonum heterophyllum","Plant growth form",NA
"Polygonum hydropiper","Dispersal syndrome",NA
"Polygonum hydropiper","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",40.0726354453627
"Polygonum hydropiper","Plant biomass and allometry: Seed number per plant",1418
"Polygonum hydropiper","Plant growth form",NA
"Polygonum hydropiper","Plant height generative",0.455
"Polygonum hydropiper","Plant height vegetative",0.745090909090909
"Polygonum hydropiper","Plant reproductive phenology timing",NA
"Polygonum hydropiper","Seed number per inflorescence (total, fertile, infertile)",1
"Polygonum hydropiper L.","Dispersal syndrome",NA
"Polygonum hydropiper L.","Plant growth form",NA
"Polygonum hydropiper L.","Plant height vegetative",0.44384
"Polygonum hydropiper L.","Plant reproductive phenology timing",NA
"Polygonum hypanicum","Plant growth form",NA
"Polygonum incanum","Plant growth form",NA
"Polygonum incarnatum","Plant growth form",NA
"Polygonum lapathifolium","Dispersal syndrome",NA
"Polygonum lapathifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.0288581040797
"Polygonum lapathifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",22.005776244
"Polygonum lapathifolium","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.52
"Polygonum lapathifolium","Leaf thickness",0.2645
"Polygonum lapathifolium","Plant biomass and allometry: Seed number per plant",3546.85714285714
"Polygonum lapathifolium","Plant growth form",NA
"Polygonum lapathifolium","Plant height generative",0.54
"Polygonum lapathifolium","Plant height vegetative",0.771153846153846
"Polygonum lapathifolium","Plant reproductive phenology timing",NA
"Polygonum lapathifolium L.","Plant growth form",NA
"Polygonum lapathifolium L.","Plant height vegetative",0.4
"Polygonum leptocarpum","Plant growth form",NA
"Polygonum longisetum","Dispersal syndrome",NA
"Polygonum longisetum","Plant growth form",NA
"Polygonum longisetum Bruijn","Dispersal syndrome",NA
"Polygonum microspermum","Plant growth form",NA
"Polygonum minimum","Plant growth form",NA
"Polygonum mississippiense","Plant growth form",NA
"Polygonum monspeliense","Plant growth form",NA
"Polygonum montanum","Plant growth form",NA
"Polygonum montereyense","Plant growth form",NA
"Polygonum muhlenbergii","Plant growth form",NA
"Polygonum natans","Plant growth form",NA
"Polygonum neglectum","Plant biomass and allometry: Seed number per plant",162.5
"Polygonum neglectum","Plant growth form",NA
"Polygonum neglectum","Plant height generative",0.3
"Polygonum neglectum","Plant height vegetative",0.3
"Polygonum nepalense","Dispersal syndrome",NA
"Polygonum nepalense","Plant growth form",NA
"Polygonum nepalense","Plant height vegetative",0.75
"Polygonum nepalense Meisn.","Dispersal syndrome",NA
"Polygonum nepalense Meisn.","Plant growth form",NA
"Polygonum nodosum","Plant growth form",NA
"Polygonum nuttallii","Plant growth form",NA
"Polygonum orientale","Plant growth form",NA
"Polygonum orientale","Plant height vegetative",1.25
"Polygonum orientale L.","Plant growth form",NA
"Polygonum orientale L.","Plant height vegetative",0.8
"Polygonum pensylvanicum L.","Plant growth form",NA
"Polygonum pensylvanicum L.","Plant height vegetative",1.18872
"Polygonum pensylvanicum L.","Plant reproductive phenology timing",NA
"Polygonum persicaria","Dispersal syndrome",NA
"Polygonum persicaria","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",38.3850885583458
"Polygonum persicaria","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",39.4028190670602
"Polygonum persicaria","Leaf thickness",0.165875
"Polygonum persicaria","Plant biomass and allometry: Seed number per plant",1900
"Polygonum persicaria","Plant growth form",NA
"Polygonum persicaria","Plant height generative",0.47
"Polygonum persicaria","Plant height vegetative",0.354356643356643
"Polygonum persicaria","Plant reproductive phenology timing",NA
"Polygonum persicaria L.","Dispersal syndrome",NA
"Polygonum persicaria L.","Plant growth form",NA
"Polygonum persicaria L.","Plant height vegetative",0.68768
"Polygonum persicaria L.","Plant reproductive phenology timing",NA
"Polygonum puritanorum","Plant growth form",NA
"Polygonum ramosissimum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.7551020408163
"Polygonum ramosissimum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.755102041
"Polygonum ramosissimum","Leaf thickness",0.14
"Polygonum ramosissimum","Plant growth form",NA
"Polygonum ramosissimum","Plant height vegetative",1
"Polygonum ramosissimum","Plant reproductive phenology timing",NA
"Polygonum sachalinense","Dispersal syndrome",NA
"Polygonum sachalinense","Plant growth form",NA
"Polygonum sachalinense F.Schmidt","Dispersal syndrome",NA
"Polygonum sagittatum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",57.808807997851
"Polygonum sagittatum","Plant growth form",NA
"Polygonum sagittatum","Plant height vegetative",0.9581
"Polygonum sagittatum L.","Plant growth form",NA
"Polygonum sagittatum L.","Plant height vegetative",0.3048
"Polygonum sagittatum L.","Plant reproductive phenology timing",NA
"Polygonum sagittatum ssp. sieboldii","Dispersal syndrome",NA
"Polygonum sagittatum subsp. sieboldii","Dispersal syndrome",NA
"Polygonum scabrum","Plant growth form",NA
"Polygonum scandens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.2450142450142
"Polygonum scandens","Leaf thickness",0.18
"Polygonum scandens","Plant growth form",NA
"Polygonum scandens","Plant reproductive phenology timing",NA
"Polygonum scandens var. cristatum","Plant growth form",NA
"Polygonum sieboldii","Plant growth form",NA
"Polygonum sieboldii","Plant height vegetative",NA
"Polygonum spergulariiforme","Plant growth form",NA
"Polygonum tomentosum","Dispersal syndrome",NA
"Polygonum tomentosum","Plant growth form",NA
"Polygonum triangulum","Plant growth form",NA
"Polygonum zuccarinii","Plant growth form",NA
"Polypodium amorphum","Plant growth form",NA
"Polypodium appalachianum","Plant growth form",NA
"Polypodium glycyrrhiza","Plant growth form",NA
"Polypodium limbospermum","Plant growth form",NA
"Polypodium montense","Plant growth form",NA
"Polypodium noveboracense","Plant growth form",NA
"Polypodium virginianum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.04004008
"Polypodium virginianum","Plant growth form",NA
"Polypogon monspeliensis","Dispersal syndrome",NA
"Polypogon monspeliensis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",21.054
"Polypogon monspeliensis","Leaf thickness",0.38625
"Polypogon monspeliensis","Plant growth form",NA
"Polypogon monspeliensis","Plant height vegetative",0.485351111111111
"Polypogon monspeliensis","Plant reproductive phenology timing",NA
"Polypogon monspeliensis (L.) Desf.","Plant growth form",NA
"Polypogon monspeliensis (L.) Desf.","Plant height vegetative",0.51816
"Polypogon monspeliensis (L.) Desf.","Plant reproductive phenology timing",NA
"Polystichum acrostichoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.0808722063143
"Polystichum acrostichoides","Plant growth form",NA
"Polystichum acrostichoides","Stem diameter",0.0014
"Polystichum andersonii","Plant growth form",NA
"Polystichum braunii","Plant growth form",NA
"Polystichum braunii","Plant height generative",0.55
"Polystichum braunii","Plant height vegetative",0.55
"Polystichum braunii","Plant reproductive phenology timing",NA
"Polystichum lonchitis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",15.7632394595325
"Polystichum lonchitis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",7.788
"Polystichum lonchitis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.4360328828333
"Polystichum lonchitis","Leaf petiole length",10
"Polystichum lonchitis","Leaf thickness",0.284
"Polystichum lonchitis","Plant growth form",NA
"Polystichum lonchitis","Plant height generative",0.3
"Polystichum lonchitis","Plant height vegetative",0.249333333333333
"Polystichum lonchitis","Plant reproductive phenology timing",NA
"Polystichum munitum","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.95
"Polystichum munitum","Plant growth form",NA
"Polystichum munitum (Kaulf.) C. Presl","Plant growth form",NA
"Polystichum munitum (Kaulf.) C. Presl","Plant height vegetative",1.0668
"Polystichum munitum (Kaulf.) C. Presl","Plant reproductive phenology timing",NA
"Polytrichastrum alpinum","Plant growth form",NA
"Polytrichastrum alpinum var. alpinum","Plant growth form",NA
"Polytrichum alpinum","Species habitat characterization: vegetation type",NA
"Polytrichum commune","Plant growth form",NA
"Polytrichum commune","Plant height vegetative",0.02
"Polytrichum commune","Species habitat characterization: vegetation type",NA
"Polytrichum commune var. commune","Plant growth form",NA
"Polytrichum juniperinum","Plant growth form",NA
"Polytrichum juniperinum","Species habitat characterization: vegetation type",NA
"Polytrichum juniperum","Plant growth form",NA
"Polytrichum lyallii","Plant growth form",NA
"Polytrichum ohioense","Plant growth form",NA
"Polytrichum pallidisetum","Plant growth form",NA
"Polytrichum pallidisetum","Species habitat characterization: vegetation type",NA
"Polytrichum piliferum","Plant growth form",NA
"Polytrichum piliferum","Species habitat characterization: vegetation type",NA
"Polytrichum sexangulare","Plant growth form",NA
"Polytrichum strictum","Plant growth form",NA
"Polytrichum strictum","Species habitat characterization: vegetation type",NA
"Pontederia cordata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",11.064
"Pontederia cordata","Plant growth form",NA
"Pontederia cordata","Plant height vegetative",0.75
"Pontederia cordata","Seed number per inflorescence (total, fertile, infertile)",194.5
"Pontederia cordata L.","Plant growth form",NA
"Pontederia cordata L.","Plant height vegetative",0.97536
"Pontederia cordata L.","Plant reproductive phenology timing",NA
"Pontederia lanceolata","Plant growth form",NA
"Pontederia ovata","Plant growth form",NA
"Populus - berolinensis Dippel","Plant growth form",NA
"Populus - canadensis Moench","Plant growth form",NA
"Populus - candicans Aiton","Plant growth form",NA
"Populus - canescens (Aiton) Sm.","Plant growth form",NA
"Populus A-canescens","Plant growth form",NA
"Populus alba","Dispersal syndrome",NA
"Populus alba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",11.0850440254001
"Populus alba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",11.4836868408094
"Populus alba","Leaf thickness",0.1974166665
"Populus alba","Plant growth form",NA
"Populus alba","Plant height generative",22.5
"Populus alba","Plant height vegetative",28.949696969697
"Populus alba","Plant reproductive phenology timing",NA
"Populus alba","Stem diameter",2.1
"Populus alba - Populus - berolinensis","Plant growth form",NA
"Populus alba - Populus bolleana","Plant growth form",NA
"Populus alba - Populus grandidentata","Plant growth form",NA
"Populus alba - Populus tremula  var. glandulosa","Plant growth form",NA
"Populus alba - Populus tremuloides","Plant growth form",NA
"Populus alba L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.87
"Populus alba L.","Plant growth form",NA
"Populus alba L.","Plant height vegetative",28.288
"Populus alba L.","Plant reproductive phenology timing",NA
"Populus alba x tremula (P. x canescens)","Plant height vegetative",30
"POPULUS ALBA x TREMULA X CANESCENS","Leaf petiole length",3
"POPULUS ALBA x TREMULA X CANESCENS","Plant height vegetative",37
"POPULUS ALBA x TREMULA X CANESCENS","Plant reproductive phenology timing",NA
"Populus angulata","Plant growth form",NA
"Populus aurea","Plant growth form",NA
"Populus balsamifera","Dispersal syndrome",NA
"Populus balsamifera","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.0534863052902
"Populus balsamifera","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.2756771479129
"Populus balsamifera","Plant growth form",NA
"Populus balsamifera","Plant height vegetative",27.6045
"Populus balsamifera","Stem diameter",0.0497737189375
"Populus balsamifera L.","Dispersal syndrome",NA
"Populus balsamifera L.","Plant growth form",NA
"Populus balsamifera L.","Plant height vegetative",21.844
"Populus balsamifera L.","Plant reproductive phenology timing",NA
"Populus balsamifera ssp. balsamifera","Plant growth form",NA
"Populus balsamifera ssp. Trichocarpa","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.695
"Populus balsamifera ssp. Trichocarpa","Plant growth form",NA
"Populus balsamifera ssp. Trichocarpa","Plant height vegetative",6.9
"Populus balsamifera subsp. balsamifera","Leaf petiole length",4
"Populus balsamifera subsp. balsamifera","Plant growth form",NA
"Populus balsamifera subsp. balsamifera","Plant height vegetative",21.6
"Populus balsamifera x tristis","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",25.7735539962444
"Populus balsamifera x tristis","Plant growth form",NA
"Populus balsamifera x tristis","Plant height vegetative",6.4
"Populus balsaminifera","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.4166666666667
"Populus balsaminifera","Plant height vegetative",15
"Populus bolleana","Plant growth form",NA
"Populus canadensis MOENCH","Plant growth form",NA
"Populus canadensis MOENCH","Plant height vegetative",10
"Populus canadensis Moench (pro sp.) [deltoides ? nigra]","Plant growth form",NA
"Populus canadensis Moench (pro sp.) [deltoides ? nigra]","Plant height vegetative",28.956
"Populus canadensis Moench (pro sp.) [deltoides ? nigra]","Plant reproductive phenology timing",NA
"Populus candicans","Dispersal syndrome",NA
"Populus candicans","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",10.41666667
"Populus candicans","Leaf petiole length",4.25
"Populus candicans","Plant growth form",NA
"Populus candicans","Plant height vegetative",28.3333333333333
"Populus canescens","Leaf petiole length",4.25
"Populus canescens","Plant growth form",NA
"Populus canescens","Plant height vegetative",31.0714285714286
"Populus canescens (Ait.) Smith","Plant height vegetative",20
"Populus deltoides","Dispersal syndrome",NA
"Populus deltoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",12.987012987013
"Populus deltoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",11.001100110011
"Populus deltoides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.0731479245269
"Populus deltoides","Leaf petiole length",6.5
"Populus deltoides","Leaf thickness",0.18075
"Populus deltoides","Plant growth form",NA
"Populus deltoides","Plant height vegetative",31.4088888888889
"Populus deltoides","Stem diameter",0.0818984771953226
"Populus deltoides - Populus - canadensis","Plant growth form",NA
"Populus deltoides - Populus maximowiczii","Plant growth form",NA
"Populus deltoides - Populus tremuloides","Plant growth form",NA
"Populus deltoides Bartram ex Marsh.","Plant growth form",NA
"Populus deltoides Bartram ex Marsh.","Plant height vegetative",41.148
"Populus deltoides Bartram ex Marsh.","Plant reproductive phenology timing",NA
"Populus deltoides Marshall.","Dispersal syndrome",NA
"Populus deltoides ssp. deltoides","Plant growth form",NA
"Populus deltoides var. deltoides","Plant height vegetative",55.5
"Populus deltoides var. orientalis","Plant height vegetative",25.9
"Populus deltoides W. Bartram ex Marshall","Dispersal syndrome",NA
"Populus deltoides W. Bartram ex Marshall","Plant growth form",NA
"Populus deltoides W. Bartram ex Marshall","Plant height vegetative",30.48
"Populus deltoides x nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.37
"Populus deltoides x nigra","Plant growth form",NA
"Populus deltoides x nigra","Plant height vegetative",3.612
"Populus deltoides x P. xeuramericana x P. deltoides","Plant growth form",NA
"Populus deltoides x trichocarpa","Plant growth form",NA
"Populus grandidenta","Plant growth form",NA
"Populus grandidentata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",13.5822598305469
"Populus grandidentata","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.0335224394755
"Populus grandidentata","Leaf petiole length",4.25
"Populus grandidentata","Leaf thickness",0.116888888888889
"Populus grandidentata","Plant growth form",NA
"Populus grandidentata","Plant height vegetative",17.1830588235294
"Populus grandidentata","Stem diameter",0.3274880812
"Populus grandidentata Michx.","Plant growth form",NA
"Populus grandidentata Michx.","Plant height vegetative",16.002
"Populus grandidentata Michx.","Plant reproductive phenology timing",NA
"Populus nigra","Dispersal syndrome",NA
"Populus nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",11.5430338160922
"Populus nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",10.838
"Populus nigra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.5127272727273
"Populus nigra","Leaf petiole length",4.25
"Populus nigra","Leaf thickness",0.236
"Populus nigra","Plant biomass and allometry: Seed number per plant",203918.4
"Populus nigra","Plant growth form",NA
"Populus nigra","Plant height generative",20
"Populus nigra","Plant height vegetative",28.3260322580645
"Populus nigra","Plant reproductive phenology timing",NA
"Populus nigra","Seed number per inflorescence (total, fertile, infertile)",219.3
"Populus nigra","Stem diameter",2.1
"Populus nigra cv. italica","Leaf petiole length",3.25
"Populus nigra cv. italica","Plant growth form",NA
"Populus nigra cv. italica","Plant height vegetative",30
"Populus nigra cv. plantierensis","Plant growth form",NA
"Populus nigra L.","Dispersal syndrome",NA
"Populus nigra L.","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",10.07
"Populus nigra L.","Plant growth form",NA
"Populus nigra L.","Plant height vegetative",30.574
"Populus nigra L.","Plant reproductive phenology timing",NA
"Populus nigra sens.lat.","Plant height vegetative",30
"Populus nigra subsp. caudina","Plant growth form",NA
"Populus nigra subsp. nigra","Plant growth form",NA
"Populus nigra var. thevestina","Plant growth form",NA
"Populus nigra var. thevestina","Plant height vegetative",30
"Populus nigra x","Plant growth form",NA
"Populus nivea Willd.","Plant growth form",NA
"Populus pyramidalis","Plant growth form",NA
"Populus salicifolia","Plant growth form",NA
"Populus tremula - Populus tremuloides","Plant growth form",NA
"Populus tremuloides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.4471715006505
"Populus tremuloides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",17.1876497475966
"Populus tremuloides","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.9179033023912
"Populus tremuloides","Leaf petiole length",6
"Populus tremuloides","Leaf thickness",0.1345
"Populus tremuloides","Plant growth form",NA
"Populus tremuloides","Plant height vegetative",5.56010126582278
"Populus tremuloides","Plant reproductive phenology timing",NA
"Populus tremuloides","Stem diameter",0.113505396505903
"Populus tremuloides Michx.","Dispersal syndrome",NA
"Populus tremuloides Michx.","Plant growth form",NA
"Populus tremuloides Michx.","Plant height vegetative",10.310962962963
"Populus tremuloides Michx.","Plant reproductive phenology timing",NA
"Populus tremuloides Michx.","Stem diameter",0.08877
"Populus tremuloides x tremula","Plant growth form",NA
"Porella cordaeana","Plant growth form",NA
"Porella cordaeana","Species habitat characterization: vegetation type",NA
"Porella navicularis","Plant growth form",NA
"Porella pinnata","Plant growth form",NA
"Porella platyphylla","Plant growth form",NA
"Porella platyphylla","Species habitat characterization: vegetation type",NA
"Porella roellii","Plant growth form",NA
"Portulaca grandiflora","Dispersal syndrome",NA
"Portulaca grandiflora","Plant growth form",NA
"Portulaca grandiflora Hook.","Plant growth form",NA
"Portulaca neglecta","Plant growth form",NA
"Portulaca oleracea","Dispersal syndrome",NA
"Portulaca oleracea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",17.4775277348634
"Portulaca oleracea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",17.5921067337667
"Portulaca oleracea","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.2007692993456
"Portulaca oleracea","Leaf petiole length",0
"Portulaca oleracea","Leaf thickness",0.55
"Portulaca oleracea","Plant biomass and allometry: Seed number per plant",172020
"Portulaca oleracea","Plant growth form",NA
"Portulaca oleracea","Plant height generative",0.2
"Portulaca oleracea","Plant height vegetative",0.0807391304347826
"Portulaca oleracea","Plant reproductive phenology timing",NA
"Portulaca oleracea","Seed number per flower",55
"Portulaca oleracea","Seed number per inflorescence (total, fertile, infertile)",72
"PORTULACA OLERACEA L.","Dispersal syndrome",NA
"PORTULACA OLERACEA L.","Plant growth form",NA
"PORTULACA OLERACEA L.","Plant height vegetative",0.05
"Portulaca oleracea subsp. oleracea","Plant height vegetative",0.2
"Portulaca retusa","Plant growth form",NA
"Potamogeton A-argutulus","Plant growth form",NA
"Potamogeton A-hagstroemii","Plant growth form",NA
"Potamogeton A-sparganiifolius","Plant growth form",NA
"Potamogeton A-subobtusus","Plant growth form",NA
"Potamogeton alpinus","Dispersal syndrome",NA
"Potamogeton alpinus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",91.5325634207861
"Potamogeton alpinus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",92.77
"Potamogeton alpinus","Plant growth form",NA
"Potamogeton alpinus","Plant height vegetative",0.901428571428571
"Potamogeton alpinus","Plant reproductive phenology timing",NA
"Potamogeton americanus","Plant growth form",NA
"Potamogeton amplexicaulis","Plant growth form",NA
"Potamogeton amplifolius","Plant growth form",NA
"Potamogeton amplifolius Tuck.","Plant growth form",NA
"Potamogeton amplifolius Tuck.","Plant reproductive phenology timing",NA
"Potamogeton argutulus","Plant growth form",NA
"Potamogeton berchtoldii","Dispersal syndrome",NA
"Potamogeton berchtoldii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",49.5
"Potamogeton berchtoldii","Leaf petiole length",0
"Potamogeton berchtoldii","Plant growth form",NA
"Potamogeton berchtoldii","Plant height vegetative",0.5625
"Potamogeton berchtoldii","Plant reproductive phenology timing",NA
"Potamogeton berteroanus","Plant growth form",NA
"Potamogeton bupleuroides","Plant growth form",NA
"Potamogeton confervoides","Plant growth form",NA
"Potamogeton crispus","Dispersal syndrome",NA
"Potamogeton crispus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",60.5666666666667
"Potamogeton crispus","Leaf petiole length",0
"Potamogeton crispus","Plant growth form",NA
"Potamogeton crispus","Plant height vegetative",1.1625
"Potamogeton crispus","Plant reproductive phenology timing",NA
"Potamogeton crispus","Seed number per flower",4
"Potamogeton crispus","Seed number per inflorescence (total, fertile, infertile)",4
"Potamogeton crispus L.","Plant growth form",NA
"Potamogeton crispus L.","Plant reproductive phenology timing",NA
"Potamogeton curtissii","Plant growth form",NA
"Potamogeton epihydrus","Leaf petiole length",0
"Potamogeton epihydrus","Plant growth form",NA
"Potamogeton epihydrus","Plant height vegetative",1.9
"Potamogeton epihydrus","Plant reproductive phenology timing",NA
"Potamogeton epihydrus Raf.","Plant growth form",NA
"Potamogeton epihydrus Raf.","Plant reproductive phenology timing",NA
"Potamogeton filiformis","Dispersal syndrome",NA
"Potamogeton filiformis","Leaf petiole length",0
"Potamogeton filiformis","Plant growth form",NA
"Potamogeton filiformis","Plant height vegetative",0.3375
"Potamogeton filiformis","Plant reproductive phenology timing",NA
"Potamogeton foliosus","Plant growth form",NA
"Potamogeton foliosus ssp. foliosus","Plant growth form",NA
"Potamogeton friesii","Dispersal syndrome",NA
"Potamogeton friesii","Leaf petiole length",0
"Potamogeton friesii","Plant growth form",NA
"Potamogeton friesii","Plant height vegetative",0.975
"Potamogeton friesii","Plant reproductive phenology timing",NA
"Potamogeton gramineus","Dispersal syndrome",NA
"Potamogeton gramineus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",47.9213333333333
